Kenku;Kenku have a predilection for thievery &  and are often quite dextrous. Their keen eyes are good at spotting potential victims &  and their ability to bluff others with their mimicked voices is well-known.
Khajiit;The Khajiit are a race of feline humanoids from Elsweyr.
Kitsune;A race of anthropomorphic fox people who have magic in their blood and light shape-changing capabilities.
Kobold &  Variant;
Kreen;Kreen minds &  behavior &  and physiology often seem bizarre to members of other races. But despite their fierce appearance &  the insect like humanoids can be loyal and courageous companions. The Kreen view everything through the lens of the hunt and the predator-prey relationship. Their basic social units are the clutch and the pack. To any Kreen weather the nomadic Thri-Kreen or the settled Tohr-Kreen the clutch is everything.
Kumakin;Large savage humanoids with bear-like strength and ferocity.
Lamia;Lamia are half snake &  half human hybrids that are given a heinous reputation that they don't quite deserve.
Lapine;Sleek and fast &  lapine traits reflect their leporine ancestry. Based on the rabbits of Watership Down.
Lionfolk;A proud and honorable race that embraces a cause or oath for life
Living Artifice;A patchwork of metal &  flesh &  stone &  steam and magic.
Lizardfolk &  Variant;That small ripple in the water looks like it has eyes.
Lizardfolk;Lizardfolk are ferocious and tough &  with an edge in moving silently and swiftly.
Lost Men;The race called lost men eat the flesh of there kills whom ever that may be.
Lupine;Wolf-like humans. Powerful and wild &  with little regard for strict rules.
Mainling;Mainings are the heroes of the forest.
Majmun;A race of highly tribal and spiritual Ape-men that descend from Were-apes
Malu Malu;The Malu Malu are a race of giant Slow Loris' who are generally peaceful.
Merfolk Erectus;Amphibious coastal merfolk of the shallows and the shores.
Mikoto;Carefree humanoids from the moon. Peaceful &  artistic and sportive.
Mimic;One of a rare breed of shapeshifting predators.
Minotaur &  Variant;Minotaur have the head of a bull &  the body of a man &  and are extremely hairy.
Minotaur;Monstrous humanoids struggling against villainous tendacies.
Mitocabra;Dwarven goat centaurs that live on high cliffs
Modron;Beings of clockwork routine and perfect order
Mongrelfolk;Less a race than a convenient category &  the highly-variable mongrelfolk consist of every being who counts multiple types of humanoids among their ancestors.
Mousefolk;Furry &  nimble &  small &  retiring and agreeable race.
Myconid;A group of fungi humanoids who inhabit the underdark
Neko;Forest dwelling humanoids with cat-like features
Nescerei;
Novakid;
Ogrillon;Ogrillons (or Half Ogres as they're most commonly known) are the result of a coupling between an Ogre and a member of a different species &  most commonly human. They're known for their strength and fierce temper &  as well as their stupidity.
Oni;Once proud protectors of the spirit world &  now rowdy creatures of the night.
Oozeling;A race of stout and intelligent humanoids originally hailing from the Far Realm.
Orc;A race of brutal warriors who know little of mercy or kindness.
Ore Beast;Beast reborn into one of ore.
Otterfolk;Otterfolk were created when a wizard gave human intelligence to a normal otter.
Outsider;
Para/Quasi Genasi;Para/Quasi genasi are human-derived planetouched infused with the power of the Elemental Chaos.
Phoelarch;Humanoids believed to be descended from the legendary phoenix.
Pixie;A tiny mischievous flying fey.
Priaced;
Rabbitfolk;Pleasant and laid back &  there are few people that hate rabbit folk.
Rakshasa;
Rakshia;Insect humanoids that take a liking to extreme environments
Ratfolk;Quick and silent &  ratfolk exist as outsiders no matter where they are &  but they let nothing get in their way.
Ratmen;
Reincarnated Devil;Humanoids given demonic form and power by their Devil master.
Revenant;The soul of a mortal who met a cruel and undeserving fate.
Rubber Forehead Alien;Ever wanted an infinite stream of alien weirdness? Well now you have it.
Runeterra: Demacian;Demacians often have great skill working in leading and following as one unit.
Runeterra: Frelijordian;Strong is useful to describe them &  but not quite enough.
Runeterra: Ionian;Grace &  wisdom &  and martial skill &  these are the pillars that support an Ionian.
Runeterra: Noxian;Noxians have great skill in lying and brutalizing!
Runeterra: Rakkor;Weapon masters and mighty warriors make up the tribe of the Rakkor.
Runeterra: Yordle;Jovial &  fierce critters who can surprise the most unsurprised.
Sasquatch;Reclusive monsters of the wilderness finally growing to prominence.
Satyr;The goatfolk of the woods.
Scorpikis;Barbaric &  half-scorpion raiders and scavengers that prowl the less-traveled parts of the desert &  aggressively defending their colonies from unwelcome intruders.
Seafolk;
Selachinoid;Deadly &  aquatic hunters and pirates.
Selkie;Seal Shapeshifters
Shardmind;Shardminds are sentient fragments of the Living Gate &  which once stood at the pinnacle of the intricate lattice of the Astral Sea.
Skaab;skaabs are undead creatures that can think and act for themselves
Skeleton;The reanimated completely decomposed corpse of a humanoid.
Slimelings;Bipedal Oozes who enjoy absorbing their victims
Sliver;
Soul Stitched;Corpses &  sewn together by stitches &  powered by electricity and given intelligence by a snatched soul.
Spectral;Spirits who have &  through vaguely defined means &  created physical bodies for themselves.
Spiderfolk;Attractive deceptive humanoids with the blood of the mighty Driders.
Spynkazaka;Winged humanoids of draconic descent.
S?;S? are humans warped by generations of exposure to negative and chaotic energy. They are physically intimidating and brimming with rage.
Tekneyan;The advanced race of reptilianoids whose mental capacity far proceeds that of mere lizardfolk.
Tevi;Amorous &  hyper-multilingual plant people.
The Devoid;Soulless humanoids searching for their humanity.
Thri-Kreen;Swift and cunning hunters &  the mantis-like thri-kreen wander the deserts and savannas of the world.
Tiefling (variant);A bit of variation to the basic
Tigerfolk;At home in the wild &  tiger folk care little for the trappings of civilization &  preferring simple &  rustic lives.
Trichadons;As a peaceful race &  trichans rarely tend towards fighting roles &  but they can take more intelligent battle roles such as sorcerers or techmurgers.
Tsukumogami;A spirit formed by an inanimate object after 100 years of neglect.
Twili;
Warforged;Built for the job.
Wargen;
Wayang;Wily and sly &  wayangs are small humanoids of the wayang subtype who spend much of their time avoiding others &  especially the predators that live in the wilderness near their hidden settlements.
Werewolf &  Variant;
Wolffolk;Strengthened by the bonds of family
Wraith;A soul eating shadow
Xortan;Musty desert people who love parties as much as fighting.
